tahun,bulan,benua,region,nama_negara,nilai_impor
2005,"September","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",212273
2005,"September","Australia dan Oceania","Australia","Australia",215009
2005,"September","Australia dan Oceania","New Zealand","New Zealand",18366
2005,"September","Afrika","Afrika Selatan","Afrika Selatan",23202
2005,"September","Afrika","Afrika Lainnya","Afrika lainnya",19329
2005,"September","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",64000
2005,"September","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",532839
2005,"Oktober","Amerika","Amerika Utara","Amerika Serikat",304292
2005,"Oktober","Amerika","Amerika Utara","Kanada",67652
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Argentina",34430
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Brasil",37973
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Meksiko",2956
2005,"Oktober","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",45776
2005,"Oktober","Eropa","Uni Eropa","Belanda",24976
2005,"Oktober","Eropa","Uni Eropa","Belgia",34157
